Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,Gender,Ages
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.0,male, age 20-24
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.63,male, age 20-24
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.53,male, age 20-24
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.04,male, age 20-24
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.02,male, age 20-24
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.01,male, age 20-24
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.2,male, age 20-24
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.1,male, age 20-24
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.62,male, age 20-24
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.0,female, age 20-24
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.76,female, age 20-24
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.67,female, age 20-24
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.21,female, age 20-24
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.13,female, age 20-24
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.02,female, age 20-24
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.16,female, age 20-24
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.97,female, age 20-24
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.4,female, age 20-24
Australia,AUS,2010.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.45,male, age 25-29
Australia,AUS,2005.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.27,male, age 25-29
Australia,AUS,2000.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.03,male, age 25-29
Australia,AUS,1995.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.2,male, age 25-29
Australia,AUS,1990.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.19,male, age 25-29
Australia,AUS,1985.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.29,male, age 25-29
Australia,AUS,1980.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.3,male, age 25-29
Australia,AUS,1975.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.87,male, age 25-29
Australia,AUS,1970.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.91,male, age 25-29
