Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,Gender,Ages
France,FRA,2010.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.66,male, age 20-24
France,FRA,2005.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.58,male, age 20-24
France,FRA,2000.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.03,male, age 20-24
France,FRA,1995.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.89,male, age 20-24
France,FRA,1990.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.56,male, age 20-24
France,FRA,1985.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.45,male, age 20-24
France,FRA,1980.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.11,male, age 20-24
France,FRA,1975.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.38,male, age 20-24
France,FRA,1970.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.38,male, age 20-24
France,FRA,2010.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.74,female, age 20-24
France,FRA,2005.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.66,female, age 20-24
France,FRA,2000.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.11,female, age 20-24
France,FRA,1995.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.96,female, age 20-24
France,FRA,1990.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.59,female, age 20-24
France,FRA,1985.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.48,female, age 20-24
France,FRA,1980.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.13,female, age 20-24
France,FRA,1975.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.39,female, age 20-24
France,FRA,1970.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,0.36,female, age 20-24
France,FRA,2010.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.24,male, age 25-29
France,FRA,2005.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.2,male, age 25-29
France,FRA,2000.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,1.03,male, age 25-29
France,FRA,1995.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.65,male, age 25-29
France,FRA,1990.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.53,male, age 25-29
France,FRA,1985.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.34,male, age 25-29
France,FRA,1980.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.44,male, age 25-29
France,FRA,1975.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.44,male, age 25-29
France,FRA,1970.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, total",BAR.TER.SCHL.2529,0.33,male, age 25-29
France,FRA,2010.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",BAR.TER.SCHL.2529.FE,1.31,female, age 25-29
France,FRA,2005.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",BAR.TER.SCHL.2529.FE,1.24,female, age 25-29
France,FRA,2000.0,"Barro-Lee: Average years of tertiary schooling, age 25-29, female",BAR.TER.SCHL.2529.FE,1.08,female, age 25-29
