Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,Gender,Ages
Japan,JPN,2010.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.17,male, age 20-24
Japan,JPN,2005.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.53,male, age 20-24
Japan,JPN,2000.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.53,male, age 20-24
Japan,JPN,1995.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.4,male, age 20-24
Japan,JPN,1990.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.31,male, age 20-24
Japan,JPN,1985.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.17,male, age 20-24
Japan,JPN,1980.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,1.02,male, age 20-24
Japan,JPN,1975.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.66,male, age 20-24
Japan,JPN,1970.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, total",BAR.TER.SCHL.2024,0.7,male, age 20-24
Japan,JPN,2010.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.36,female, age 20-24
Japan,JPN,2005.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.69,female, age 20-24
Japan,JPN,2000.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.7,female, age 20-24
Japan,JPN,1995.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.49,female, age 20-24
Japan,JPN,1990.0,"Barro-Lee: Average years of tertiary schooling, age 20-24, female",BAR.TER.SCHL.2024.FE,1.33,female, age 20-24
